Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,5850000,2,62.5,34.9,8.7,,5,11,Панельный,Ломоносовский,Проспект Ветеранов,20.0
Квартира,5100000,1,31.1,18.0,5.0,,4,5,Блочный,Кировский,Проспект Ветеранов,2.3
Квартира,19500000,3,80.4,28.19,9.0,2.65,15,16,Кирпичный,Приморский,Беговая,0.4
Квартира,19000000,2,80.0,28.0,24.5,2.85,2,14,Кирпично-Монолитный,Приморский,Черная речка,1.0
Квартира,7850000,1,44.0,20.0,15.0,2.64,11,17,Индивидуальный,Невский,,
Квартира,3900000,1,39.9,18.4,8.7,2.5,1,5,Панельный,Всеволожский,Ладожская,19.0
Квартира,12100000,1,43.1,20.0,15.0,3.0,5,25,Кирпично-Монолитный,Приморский,Старая Деревня,
Квартира,15900000,2,107.1,46.4,19.95,2.75,5,21,Монолит,Выборгский,Проспект Просвещения,1.8
Студия,5300000,0,24.4,16.1,,2.67,13,16,Монолит,Невский,Улица Дыбенко,2.6
Квартира,74990000,3,126.8,44.9,40.2,3.31,4,6,Кирпичный,Петроградский,Крестовский остров,0.4
Квартира,8500000,2,47.8,30.0,6.0,2.5,5,9,Индивидуальный,Всеволожский,,
Квартира,5950000,1,45.0,19.1,11.5,2.8,10,20,Кирпично-Монолитный,Всеволожский,Девяткино,2.0
Квартира,4498000,1,33.5,14.8,8.4,2.7,5,17,Панельный,Тосненский,Рыбацкое,13.1
Квартира,11500000,3,79.2,47.3,15.4,2.7,1,12,137 серия,Выборгский,Проспект Просвещения,0.5
Квартира,19679000,2,68.9,32.1,20.2,2.85,5,12,Кирпично-Монолитный,Приморский,Черная речка,0.5
Квартира,9700000,1,40.9,16.5,11.5,2.64,3,20,Индивидуальный,Василеостровский,,
Квартира,28990000,2,72.5,38.0,17.0,3.0,2,7,Кирпично-Монолитный,Центральный,Чернышевская,1.4
Квартира,8010000,3,81.6,45.5,13.6,2.8,1,4,Монолит,Всеволожский,Ладожская,19.5
Квартира,15000000,3,86.8,51.6,9.6,3.2,1,6,Сталинский,Московский,Звездная,0.9
Квартира,12760000,2,60.3,34.2,8.1,2.75,3,22,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.9
Квартира,50000000,5,148.0,86.0,13.0,3.3,7,7,Кирпично-Монолитный,Центральный,Площадь Александра Невского,0.3
Студия,3700000,0,20.6,14.0,2.6,,1,4,Кирпично-Монолитный,Всеволожский,Проспект Просвещения,11.4
Квартира,12838000,3,66.89,43.85,13.02,2.54,9,13,Панельный,Калининский,Гражданский  проспект,4.1
Квартира,5698000,1,37.6,14.65,12.02,2.87,1,4,Кирпично-Монолитный,Пушкинский,Московская,11.0
Квартира,6000000,2,45.9,29.7,6.6,2.6,5,5,Брежневка,Невский,Ломоносовская,1.7
Квартира,21190000,3,101.1,49.0,16.0,,3,17,Кирпично-Монолитный,Красногвардейский,Новочеркасская,4.6
Квартира,5180000,1,31.0,17.0,7.0,2.64,8,12,Индивидуальный,Красногвардейский,,
Квартира,21200000,3,78.3,45.1,28.5,2.75,6,16,Монолит,Василеостровский,Приморская,1.2
Квартира,15680000,3,92.0,57.0,14.0,2.75,11,29,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.8
Квартира,5200000,2,52.5,28.5,8.4,,4,5,Панельный,Кировский,Рыбацкое,18.1
Квартира,8200000,2,45.7,28.0,7.0,,6,9,504 серия,Выборгский,Озерки,1.8
Квартира,7470000,1,37.0,18.6,8.7,,22,24,Кирпично-Монолитный,Невский,Рыбацкое,4.2
Квартира,20495000,3,83.4,35.5,20.5,2.85,5,12,Кирпично-Монолитный,Приморский,Лесная,0.9
Квартира,13300000,2,66.2,35.5,8.7,2.92,2,8,Сталинский,Невский,Ломоносовская,0.3
Квартира,11690000,1,43.1,15.1,14.5,2.75,11,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,7750000,1,31.9,15.6,8.6,2.5,12,17,Индивидуальный,Приморский,,
Квартира,16800000,2,58.6,26.0,8.8,2.86,5,5,Кирпичный,Центральный,Чернышевская,0.7
Квартира,19000000,2,77.0,38.0,14.0,2.64,14,25,Индивидуальный,Приморский,,
Квартира,20000000,3,95.9,52.4,13.5,,10,16,Кирпичный,Фрунзенский,Дунайская,0.7
Квартира,9800000,3,71.1,47.1,7.1,2.5,8,12,Монолитно-панельный,Выборгский,Озерки,1.9
Квартира,6835000,1,40.46,24.0,5.2,,17,21,Монолитно-панельный,Невский,Улица Дыбенко,1.7
Квартира,12700000,2,65.3,32.0,16.0,2.7,6,15,Индивидуальный,Московский,,
Квартира,13180000,3,88.6,43.9,10.6,2.87,2,4,Монолит,Всеволожский,Парнас,9.0
Квартира,8500000,3,58.7,36.9,7.1,2.57,8,9,Монолитно-панельный,Красногвардейский,Ладожская,2.2
Квартира,11070000,3,76.0,44.0,30.0,2.7,24,26,Индивидуальный,Выборгский,,
Квартира,6650000,2,44.0,27.5,6.3,,2,9,Панельный,Выборгский,Гражданский  проспект,2.7
Квартира,8870000,1,37.5,13.0,17.0,2.8,7,12,Монолит,Московский,Звездная,1.6
Квартира,8350000,3,74.0,41.6,11.4,2.7,3,5,Индивидуальный,Пушкинский,,
Квартира,7299000,3,61.0,44.0,6.1,,1,9,Панельный,Петродворцовый,Беговая,25.9
Квартира,6750000,2,48.0,30.0,8.0,2.8,9,9,Кирпичный,Пушкинский,Шушары,9.5
Студия,5800000,0,33.0,20.0,5.0,2.8,13,19,Индивидуальный,Василеостровский,,
Студия,5099000,0,28.7,14.0,5.0,2.75,16,16,Кирпично-Монолитный,Всеволожский,Проспект Просвещения,12.6
Квартира,6840000,2,45.1,29.5,7.4,2.6,1,5,Панельный,Невский,Улица Дыбенко,0.5
Квартира,13950000,4,90.0,60.0,10.5,3.14,3,5,Ст.Фонд Кап.Рем.,Центральный,Обводный канал,0.6
Студия,6350000,0,25.4,20.0,,2.7,7,17,Кирпично-Монолитный,Приморский,Пионерская,0.6
Квартира,8900000,3,53.6,39.5,5.2,2.5,5,5,Индивидуальный,Московский,Московская,
Квартира,4750000,1,33.1,14.9,9.3,2.6,3,12,Кирпично-Монолитный,Всеволожский,Ладожская,7.8
Квартира,18700000,2,63.0,28.0,20.0,,5,12,Кирпично-Монолитный,Василеостровский,Приморская,1.3
Квартира,11800000,2,56.5,30.0,15.0,2.64,2,20,Индивидуальный,Кировский,,
Квартира,30000000,4,117.5,80.9,10.1,3.2,6,6,Индивидуальный,Московский,,
Квартира,39500000,2,103.0,43.5,33.0,3.0,16,20,Монолит,Выборгский,Площадь Мужества,1.1
Квартира,10490000,2,63.0,30.9,12.0,2.8,4,19,Панельный,Приморский,Комендантский  проспект,3.4
Квартира,19520000,3,86.3,47.8,10.0,,17,17,Кирпично-Монолитный,Красногвардейский,Новочеркасская,4.6
Квартира,15900000,2,60.8,32.0,14.3,3.0,5,9,Индивидуальный,Выборгский,,
Квартира,32000000,3,135.1,49.7,23.1,3.1,5,5,Старый фонд (СФ),Василеостровский,Василеостровская,
Квартира,1130000,2,43.2,24.6,8.4,2.5,5,9,Кирпичный,Калининский,Академическая,1.5
Студия,6500000,0,21.4,12.0,2.0,2.5,5,16,Индивидуальный,Калининский,,
Студия,5300000,0,24.1,17.0,,2.7,7,12,Кирпично-Монолитный,Московский,Звездная,1.6
Квартира,6900000,1,31.3,17.0,6.0,2.64,4,5,Индивидуальный,Приморский,,
Студия,4200000,0,24.7,18.0,2.0,2.64,10,12,Индивидуальный,Красносельский,,
Квартира,6840000,1,40.0,18.0,11.0,2.7,3,5,Монолит,Колпинский,Рыбацкое,10.8
Студия,8600000,0,23.0,22.0,2.0,2.7,4,11,Кирпичный,Василеостровский,Приморская,1.1
Квартира,31270000,3,117.8,60.0,13.6,2.8,17,20,Монолит,Приморский,Черная речка,1.0
Квартира,8950000,1,35.7,14.0,10.1,2.5,8,10,Индивидуальный,Выборгский,,
Квартира,150000000,2,104.0,122.0,64.7,3.0,5,6,Кирпичный,Петроградский,Спортивная,0.8
Квартира,16450000,5,94.1,68.1,10.0,2.85,5,6,Ст.Фонд Кап.Рем.,Петроградский,Спортивная,0.6
Квартира,7230000,1,31.23,13.56,9.86,2.75,7,13,Кирпично-Монолитный,Приморский,Беговая,5.0
Студия,4450000,0,25.0,17.7,,2.7,4,5,Кирпичный,Выборгский,Удельная,47.7
Квартира,9490000,1,52.0,17.0,12.7,,3,11,Панельный,Красносельский,Проспект Ветеранов,0.5
Квартира,9940000,2,57.3,41.0,11.0,2.7,18,26,Индивидуальный,Выборгский,,
Квартира,15440000,2,59.7,26.8,18.0,2.7,10,20,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.4
Квартира,10800000,1,45.0,15.0,17.2,2.8,17,17,Кирпичный,Калининский,Выборгская,1.9
Квартира,7370000,2,55.5,34.2,7.5,2.6,9,11,Кирпичный,Красносельский,Проспект Ветеранов,6.9
Квартира,10000000,3,66.0,41.5,8.1,2.7,9,9,Кирпичный,Петродворцовый,Беговая,23.0
Квартира,7800000,1,30.0,14.8,8.1,2.78,8,19,Кирпичный,Московский,Московская,1.8
Квартира,9000000,1,32.0,20.0,8.0,2.8,7,10,Индивидуальный,Невский,,
Квартира,8708000,2,71.2,36.4,16.0,2.6,7,25,Кирпично-Монолитный,Выборгский,Проспект Просвещения,5.4
Квартира,5655000,1,40.86,15.9,13.0,2.87,1,5,Кирпично-Монолитный,Пушкинский,Московская,11.1
Квартира,45000000,3,117.0,90.3,15.1,3.1,2,6,Монолит,Петроградский,Крестовский остров,0.9
Квартира,14999000,2,55.9,29.8,10.8,,8,10,Индивидуальный,Выборгский,,
Квартира,4899000,1,32.0,16.0,8.0,2.64,12,12,Индивидуальный,Кировский,,
Студия,3100000,0,18.9,14.0,,,1,3,Кирпичный,Кировский,Нарвская,0.7
Квартира,10000000,2,53.0,33.0,8.0,2.64,3,5,Индивидуальный,Выборгский,,
Студия,4350000,0,29.3,17.64,,,5,11,Монолит,Пушкинский,Купчино,3.0
Квартира,5500000,3,54.7,36.5,6.0,,2,5,Кирпичный,Невский,Обухово,1.1
Студия,4820000,0,30.4,18.0,,,5,15,Кирпично-Монолитный,Всеволожский,Девяткино,2.6
Квартира,20000000,2,68.0,33.5,16.0,3.0,7,9,Кирпично-Монолитный,Выборгский,Лесная,0.9
Квартира,14500000,3,76.0,53.4,8.2,2.5,1,4,Индивидуальный,Центральный,,
Квартира,5345000,2,52.68,28.12,10.2,2.7,2,4,Монолит,Гатчинский,Проспект Ветеранов,24.9
Квартира,6200000,2,44.2,26.7,6.3,,1,9,Корабль,Калининский,Гражданский  проспект,0.8
Квартира,15000000,1,30.2,14.0,9.0,3.47,2,4,Старый фонд (СФ),Центральный,Адмиралтейская,0.1
Студия,3800000,0,23.3,17.4,,2.75,18,19,Монолитно-панельный,Всеволожский,Девяткино,
Квартира,5000000,2,43.7,31.0,5.4,2.5,4,5,Кирпичный,Кронштадтский,Беговая,22.9
Квартира,11000000,2,92.0,48.0,23.0,2.9,3,4,Старый фонд (СФ),Василеостровский,Василеостровская,0.9
Квартира,8400000,1,34.8,21.0,8.0,2.5,16,17,Индивидуальный,Красносельский,,
Квартира,19700000,3,117.9,49.2,13.9,2.5,3,9,Индивидуальный,Выборгский,,
Квартира,20600000,3,68.4,27.7,22.4,2.75,14,14,Кирпично-Монолитный,Приморский,Черная речка,1.2
Квартира,8299000,2,51.6,29.0,10.0,2.64,7,16,Панельный,Красносельский,,
Квартира,14000000,2,61.0,32.0,10.0,,3,12,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,2.1
Квартира,3200000,1,32.0,17.7,6.2,2.6,4,5,Кирпичный,Приозерский,Девяткино,111.2
Квартира,6553000,1,30.75,14.48,9.23,2.55,1,24,Кирпично-Монолитный,Невский,Ломоносовская,3.9
Квартира,7000000,1,33.1,15.2,9.4,,18,24,Кирпичный,Приморский,Пионерская,1.8
Квартира,9600000,2,58.0,28.0,16.6,2.7,4,20,Панельный,Красногвардейский,Девяткино,2.3
Квартира,5200000,2,43.6,27.9,5.1,2.51,2,5,Хрущевка,Пушкинский,Купчино,9.6
Квартира,9100000,2,55.4,33.0,8.4,2.65,4,10,Панельный,Центральный,Старая Деревня,1.1
Квартира,20950000,6,185.1,129.5,16.6,3.12,4,5,Кирпичный,Центральный,Площадь Восстания,0.9
Квартира,19010000,3,114.3,63.9,10.04,2.75,13,28,Монолит,Выборгский,Проспект Просвещения,1.8
Квартира,16070000,2,76.7,34.4,13.7,2.75,20,25,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.9
Квартира,11180000,1,47.63,13.67,17.31,2.7,17,25,Кирпично-Монолитный,Приморский,Озерки,3.5
Квартира,13579000,1,48.36,15.72,14.98,2.75,2,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,19998000,3,88.9,45.63,17.69,2.75,7,10,Кирпично-Монолитный,Фрунзенский,Обводный канал,0.6
Квартира,7770000,3,64.1,46.8,6.3,2.7,5,9,Панельный,Всеволожский,Улица Дыбенко,15.9
Квартира,8250000,1,35.3,13.3,11.5,2.8,12,17,Индивидуальный,Московский,,
Квартира,16500000,2,57.0,31.7,11.2,3.2,2,3,Ст.Фонд Кап.Рем.,Василеостровский,Василеостровская,1.1
Квартира,20000000,2,69.55,36.66,14.54,2.8,8,12,Кирпично-Монолитный,Выборгский,Лесная,1.0
Квартира,5790000,2,44.5,27.6,6.8,2.55,1,9,Панельный,Невский,Проспект Большевиков,1.9
Квартира,7200000,2,45.5,30.4,6.5,2.5,5,5,Панельный,Красногвардейский,Ладожская,0.8
Квартира,190000000,4,243.0,116.0,20.0,3.1,12,12,Кирпичный,Центральный,Чернышевская,1.6
Квартира,23800000,3,86.5,42.62,19.6,,13,14,Кирпично-Монолитный,Приморский,Черная речка,0.9
Квартира,14900000,2,65.3,32.6,12.1,3.0,9,10,Индивидуальный,Выборгский,,
Квартира,8500000,3,61.2,39.3,6.3,2.5,9,9,Индивидуальный,Всеволожский,,
Квартира,12600000,3,68.0,43.7,9.2,,2,6,Кирпичный,Адмиралтейский,Технологический институт,0.7
Квартира,22400000,4,108.4,67.2,12.4,2.7,2,21,Кирпично-Монолитный,Московский,Звездная,0.5
Квартира,9850000,2,47.8,27.0,11.0,2.65,2,12,137 серия,Василеостровский,Приморская,1.3
Квартира,25000000,4,132.0,61.0,32.3,2.7,3,9,Кирпичный,Выборгский,Озерки,0.5
Квартира,11760000,1,46.0,14.7,21.5,3.0,3,4,Кирпично-Монолитный,Фрунзенский,Волковская,0.5
Студия,4900000,0,24.6,19.0,3.0,2.75,15,25,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,9450000,2,53.0,28.4,11.3,2.7,20,22,Индивидуальный,Красногвардейский,Гражданский  проспект,
Студия,4200000,0,25.0,18.0,3.0,3.0,12,12,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,8.0
Квартира,4650000,2,44.1,28.0,5.4,2.5,2,5,Панельный,Выборгский,Беговая,44.8
Квартира,9419000,2,58.19,29.69,11.96,2.65,13,24,Кирпично-Монолитный,Невский,Ломоносовская,4.2
Квартира,6900000,2,47.7,28.6,7.1,2.5,2,10,Индивидуальный,Красносельский,,
Квартира,9890000,2,50.6,34.0,6.0,2.5,2,12,Индивидуальный,Московский,Московская,
Квартира,26000000,3,124.0,64.0,22.0,2.7,4,12,Кирпичный,Калининский,Академическая,1.0
Квартира,18200000,2,59.1,31.75,12.09,2.8,9,12,Кирпично-Монолитный,Выборгский,Лесная,1.0
Квартира,64900000,5,250.3,168.2,14.9,3.65,5,5,Кирпичный,Центральный,Маяковская,0.5
Квартира,8200000,2,51.1,31.8,8.6,2.56,10,10,Панельный,Невский,Рыбацкое,1.0
Студия,4900000,0,28.0,20.0,3.0,2.5,8,24,Индивидуальный,Выборгский,,
Квартира,7950000,2,53.1,28.9,8.1,2.65,2,9,Кирпичный,Кировский,Проспект Ветеранов,2.3
Квартира,12700000,2,64.0,34.0,10.7,3.0,2,6,Индивидуальный,Петродворцовый,Автово,13.0
Квартира,10700000,2,55.5,30.5,11.5,2.8,25,25,Кирпично-Монолитный,Всеволожский,,
Квартира,7700000,1,40.0,25.0,9.0,2.5,2,3,Индивидуальный,Всеволожский,,
Студия,5230000,0,18.3,10.0,5.0,2.7,2,5,Индивидуальный,Центральный,,
Квартира,10890000,2,70.0,23.4,31.0,,1,14,Кирпично-Монолитный,Выборгский,Проспект Просвещения,4.5
Квартира,6500000,1,41.0,18.9,9.3,2.8,15,25,Монолит,Красносельский,Ленинский  проспект,4.6
Квартира,8250000,1,38.8,19.0,11.3,2.85,7,19,Монолит,Красносельский,Автово,6.6
Квартира,10900000,3,62.8,37.3,10.4,,1,10,Кирпичный,Приморский,Комендантский  проспект,0.8
Квартира,8800000,2,56.0,35.0,17.5,2.64,9,12,Индивидуальный,Всеволожский,,
Квартира,17990000,1,48.9,16.0,18.0,3.13,14,17,Кирпично-Монолитный,Адмиралтейский,Московская,0.7
Квартира,6699000,2,53.9,30.9,10.5,2.6,2,3,Панельный,Гатчинский,Купчино,22.0
Квартира,5800000,1,34.3,19.1,7.0,2.5,7,9,Панельный,Выборгский,Проспект Просвещения,0.7
Квартира,7178000,1,33.83,17.32,9.15,2.55,1,24,Кирпично-Монолитный,Невский,Ломоносовская,4.1
Квартира,14500000,2,64.8,31.6,14.6,2.8,10,17,Монолит,Приморский,Беговая,1.5
Квартира,13739000,1,36.8,14.4,11.6,,8,11,Монолит,Адмиралтейский,Балтийская,0.6
Квартира,15290000,3,90.6,60.0,9.3,2.88,3,4,Старый фонд (СФ),Василеостровский,Приморская,0.4
Квартира,13000000,1,36.0,14.5,10.2,2.7,6,12,Индивидуальный,Приморский,,
Квартира,5200000,2,43.3,29.1,5.1,2.55,1,4,Кирпичный,Петродворцовый,Беговая,20.9
Квартира,6800000,1,35.0,9.4,18.2,2.64,8,16,Индивидуальный,Красногвардейский,Гражданский  проспект,
Квартира,6500000,2,41.3,27.2,5.2,,1,5,Кирпичный,Московский,Парк Победы,1.0
Квартира,8850000,1,36.0,14.6,9.6,2.7,11,13,Кирпично-Монолитный,Фрунзенский,Дунайская,0.9
Квартира,9800000,3,70.0,43.9,8.5,,6,12,Панельный,Выборгский,Парнас,1.7
Квартира,2300000,1,33.5,17.4,7.6,,2,2,Блочный,Кировский,Улица Дыбенко,32.5
Квартира,6650000,1,37.0,17.9,8.3,2.58,3,6,Панельный,Приморский,Пионерская,2.3
Квартира,10500000,3,100.2,61.3,12.7,3.05,4,4,Старый фонд (СФ),Центральный,Площадь Александра Невского,0.6
Квартира,7800000,1,53.8,23.0,14.0,2.8,4,7,Кирпично-Монолитный,Всеволожский,Ладожская,15.0
Квартира,5500000,1,37.4,18.0,9.0,2.6,2,5,Кирпично-Монолитный,Выборгский,Беговая,42.8
Квартира,9800000,2,54.0,32.0,9.9,2.7,2,9,Панельный,Выборгский,Озерки,1.4
Квартира,10100000,3,88.7,50.0,14.4,,16,24,Панельный,Пушкинский,Купчино,2.6
Квартира,33410000,4,103.12,61.15,16.1,3.25,12,15,Кирпично-Монолитный,Приморский,Черная речка,1.4
Студия,5600000,0,24.52,17.7,,2.8,8,15,Кирпично-Монолитный,Невский,Улица Дыбенко,2.5
Студия,3500000,0,22.0,15.0,2.0,2.6,6,20,Индивидуальный,Выборгский,,
Студия,4597000,0,29.8,14.8,6.3,2.75,8,16,Кирпично-Монолитный,Всеволожский,Девяткино,0.9
Квартира,10000000,1,36.6,17.0,12.3,3.09,3,3,Кирпичный,Центральный,Лиговский  проспект,0.6
Квартира,13499000,5,127.8,18.0,9.8,,7,7,Кирпичный,Центральный,Спасская,0.4
Квартира,3800000,1,31.7,15.0,10.2,2.9,8,9,Индивидуальный,Пушкинский,,
Квартира,5800000,1,41.2,16.0,10.75,2.7,13,16,Панельный,Ломоносовский,Проспект Ветеранов,7.6
Квартира,27550000,3,92.64,44.37,14.78,3.6,12,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.9
Квартира,28497000,4,135.06,71.95,23.33,2.82,9,10,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,6.1
Квартира,7800000,2,39.5,26.91,6.69,3.62,3,4,Старый фонд (СФ),Центральный,Площадь Восстания,0.8
Квартира,6550000,2,44.7,26.0,5.9,2.59,1,5,Панельный,Московский,Московская,
Студия,5700000,0,23.4,17.0,,2.8,21,27,Кирпично-Монолитный,Всеволожский,Девяткино,0.5
Квартира,5500000,1,32.1,20.2,4.5,2.7,1,3,Кирпичный,Кировский,Проспект Ветеранов,0.3
Студия,6769000,0,23.78,17.0,,2.5,25,26,Монолит,Московский,Московская,1.2
Квартира,8799000,3,71.4,42.4,8.0,2.5,2,9,Панельный,Всеволожский,Ладожская,
Квартира,38124000,3,140.5,78.8,20.2,3.0,2,8,Кирпично-Монолитный,Московский,Московская,0.7
Квартира,14500000,2,70.4,55.0,12.0,2.5,18,24,Индивидуальный,Московский,,
Квартира,53000000,5,203.0,149.8,18.3,3.65,5,6,Кирпичный,Центральный,Чернышевская,0.1
Квартира,7995000,2,44.4,28.7,7.3,,1,9,Кирпичный,Московский,Московская,1.9
Квартира,25039000,3,126.6,66.76,20.82,2.75,13,23,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.8
Студия,3900000,0,24.2,17.0,,2.7,8,25,Кирпично-Монолитный,Невский,Ломоносовская,4.1
Квартира,5270000,1,35.5,11.4,15.8,,2,15,Кирпично-Монолитный,Всеволожский,Девяткино,2.6
Квартира,6200000,1,42.8,18.5,13.2,2.6,9,24,Индивидуальный,Всеволожский,,
Квартира,8700000,3,58.1,38.6,5.2,2.6,9,9,Панельный,Красногвардейский,Ладожская,0.7
Квартира,7600000,1,43.4,15.7,12.3,2.75,3,25,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.9
Квартира,9650000,2,44.6,26.0,10.0,2.64,8,9,Индивидуальный,Пушкинский,,
Студия,2885000,0,22.75,11.0,4.35,2.7,3,8,Кирпично-Монолитный,Всеволожский,Проспект Просвещения,11.3
Квартира,4210000,1,32.0,15.0,7.0,,5,5,Панельный,Всеволожский,Озерки,13.4
Квартира,5700000,1,44.2,18.4,11.2,2.5,14,17,Индивидуальный,Колпинский,,
Квартира,8500000,1,38.6,19.5,8.6,2.7,5,24,Индивидуальный,Московский,Московская,
Квартира,6500000,2,43.8,28.0,5.1,,4,4,Хрущевка,Пушкинский,Шушары,14.8
Квартира,12140000,2,55.9,28.16,12.72,2.75,1,13,Монолит,Приморский,Черная речка,1.5
Квартира,15995000,2,48.6,20.0,20.0,,2,3,Ст.Фонд Кап.Рем.,Адмиралтейский,Адмиралтейская,1.1
Квартира,7054000,1,32.6,18.7,7.4,2.57,18,25,Панельный,Красногвардейский,Гражданский  проспект,4.9
Квартира,8200000,2,61.5,34.3,11.2,2.8,6,9,Кирпично-Монолитный,Всеволожский,Улица Дыбенко,19.6
Квартира,14734000,2,66.45,34.75,14.38,2.7,10,25,Кирпично-Монолитный,Приморский,Озерки,3.5
Студия,4700000,0,25.4,17.0,2.4,2.75,8,21,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,5500000,2,43.3,28.0,5.9,2.5,2,2,Индивидуальный,Выборгский,,
Квартира,7000000,2,44.6,27.5,6.8,2.5,1,9,Панельный,Калининский,Академическая,1.1
Квартира,7150000,3,53.0,33.8,6.2,2.5,14,15,Панельный,Выборгский,Проспект Просвещения,2.0
Квартира,5300000,1,50.0,19.0,12.0,2.8,1,3,Монолитно-панельный,Ломоносовский,Проспект Ветеранов,13.9
Квартира,10000000,1,28.5,16.6,4.1,,2,5,Кирпичный,Василеостровский,Василеостровская,0.4
Квартира,14900000,2,82.2,45.2,12.4,2.75,3,10,Кирпичный,Выборгский,Озерки,0.3
Квартира,6700000,2,42.0,36.0,6.0,2.64,2,5,Панельный,Московский,,
Квартира,16000000,3,74.4,52.34,9.0,2.9,2,5,Сталинский,Кировский,Автово,0.6
Квартира,8980000,1,46.7,17.1,8.0,2.65,3,10,Панельный,Кировский,Проспект Ветеранов,1.4
Квартира,7625000,1,32.79,10.01,15.01,2.7,13,19,Кирпично-Монолитный,Приморский,Беговая,5.9
Квартира,36500000,8,142.4,77.1,20.0,3.5,5,6,Кирпичный,Центральный,Чернышевская,0.6
Квартира,8190000,1,34.0,12.5,15.0,2.8,7,20,Монолит,Приморский,Комендантский  проспект,3.4
Квартира,5430000,1,29.1,15.2,6.5,2.64,5,9,Панельный,Невский,,
Студия,5200000,0,27.0,18.0,,2.75,4,24,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.1
Квартира,5999000,1,33.3,17.6,8.3,2.6,7,14,Панельный,Красногвардейский,Проспект Большевиков,3.3
Квартира,12800000,2,65.3,33.0,10.5,,6,17,Кирпично-Монолитный,Московский,Звездная,0.4
Квартира,5900000,1,36.8,18.5,11.1,2.75,2,13,Индивидуальный,Приморский,Комендантский  проспект,
Студия,5100000,0,28.2,18.0,4.0,2.65,4,20,Кирпично-Монолитный,Выборгский,Парнас,0.7
Квартира,8450000,2,48.7,26.9,7.2,2.5,4,5,Кирпичный,Пушкинский,Купчино,10.5
Студия,7899000,0,28.4,25.0,,,4,10,Кирпично-Монолитный,Московский,Фрунзенская,0.6
Квартира,5300000,2,46.0,29.0,6.4,2.5,5,5,Хрущевка,Калининский,Площадь Ленина,5.0
Квартира,7400000,1,43.1,18.0,13.0,2.8,16,23,Монолит,Красносельский,Проспект Ветеранов,5.3
Квартира,39900000,3,110.3,64.0,18.5,3.35,4,5,Ст.Фонд Кап.Рем.,Центральный,Гостиный Двор,0.4
Квартира,8100000,2,60.0,31.0,9.0,,11,12,Кирпично-Монолитный,Всеволожский,,
Квартира,7690000,1,38.0,25.0,9.8,2.7,3,12,Индивидуальный,Всеволожский,,
Квартира,9500000,3,59.0,36.5,6.0,2.6,4,7,Панельный,Красногвардейский,Ладожская,4.8
Квартира,28200000,6,163.8,117.3,23.7,3.31,4,6,Кирпичный,Петроградский,,
Квартира,8500000,2,45.0,30.0,12.0,2.64,5,9,Индивидуальный,Калининский,,
Квартира,42000000,4,171.0,80.0,17.0,,16,17,Кирпично-Монолитный,Московский,Московская,0.7
Квартира,19700000,3,94.9,61.0,16.0,3.0,4,8,Индивидуальный,Приморский,,
Квартира,16499000,4,173.4,42.0,10.0,3.05,2,4,Кирпичный,Приморский,Беговая,3.4
Квартира,9438000,1,36.9,13.4,10.2,2.75,2,11,Кирпично-Монолитный,Приморский,Черная речка,1.4
Квартира,10900000,2,56.9,31.2,11.6,2.5,3,18,Индивидуальный,Московский,,
Квартира,19000000,1,53.0,16.5,13.4,3.0,2,8,Индивидуальный,Петроградский,Петроградская,0.9
Квартира,4800000,2,47.0,28.0,6.0,,5,5,Панельный,Всеволожский,Ладожская,19.5
Студия,3500000,0,25.0,15.3,3.0,2.5,3,24,Кирпично-Монолитный,Невский,,
Квартира,7900000,3,61.7,42.9,7.1,2.5,3,5,Индивидуальный,Невский,,
Студия,2970000,0,23.8,12.0,6.0,2.5,7,16,Индивидуальный,Всеволожский,,
Квартира,10380000,1,40.3,11.6,19.2,,1,4,Кирпично-Монолитный,Фрунзенский,Волковская,0.5
Квартира,18500000,3,88.6,48.6,13.4,2.77,6,18,Монолит,Красносельский,Ленинский  проспект,4.8
Студия,3700000,0,19.5,16.1,,,17,20,Кирпично-Монолитный,Выборгский,Парнас,0.7
Квартира,170000000,3,262.0,213.0,47.0,3.2,3,7,Кирпично-Монолитный,Петроградский,Крестовский остров,0.7
Квартира,9450000,4,78.1,45.0,20.0,2.5,17,19,Индивидуальный,Василеостровский,,
