Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Студия,5100000,0,25.6,15.8,,,12,32,Монолит,Невский,Рыбацкое,2.5
Квартира,19230000,2,88.9,39.7,31.3,2.84,13,15,Кирпично-Монолитный,Невский,Улица Дыбенко,2.3
Квартира,13313000,1,54.56,17.84,20.67,2.67,5,6,Кирпичный,Кировский,Нарвская,0.7
Квартира,8600000,1,47.8,16.51,14.9,2.75,1,7,Монолит,Выборгский,Лесная,1.6
Квартира,15400000,2,77.0,66.1,10.0,3.2,1,3,Ст.Фонд Кап.Рем.,Василеостровский,Василеостровская,0.7
Квартира,5550000,1,33.0,13.71,10.32,2.65,6,21,Индивидуальный,Всеволожский,,
Студия,4650000,0,22.3,12.5,2.0,2.75,11,16,Индивидуальный,Всеволожский,,
Квартира,58500000,4,157.0,83.0,23.0,3.05,6,8,Кирпично-Монолитный,Приморский,Беговая,0.9
Квартира,17500000,1,46.6,18.1,13.6,3.1,21,24,Кирпично-Монолитный,Невский,Проспект Большевиков,1.0
Квартира,6150000,2,45.8,32.0,7.0,,3,5,Блочный,Невский,Обухово,1.8
Студия,4900000,0,23.1,15.4,3.0,2.64,11,26,Индивидуальный,Пушкинский,,
Студия,4200000,0,24.9,18.0,3.0,2.64,4,8,Индивидуальный,Всеволожский,,
Квартира,42150000,6,204.0,129.6,14.0,2.8,13,14,Кирпично-Монолитный,Василеостровский,Приморская,1.4
Квартира,4250000,1,28.9,16.8,5.5,2.5,2,5,Кирпичный,Петродворцовый,Проспект Ветеранов,20.2
Квартира,8100000,2,53.6,33.6,8.5,2.7,9,9,Кирпичный,Красносельский,Проспект Ветеранов,5.7
Квартира,14958000,2,61.83,26.85,16.94,2.75,5,13,Индивидуальный,Приморский,Комендантский  проспект,
Студия,7900000,0,28.3,22.0,,,18,22,Кирпично-Монолитный,Московский,Электросила,0.8
Студия,3500000,0,14.0,12.0,2.0,2.64,3,5,Индивидуальный,Василеостровский,,
Квартира,7000000,1,38.9,16.4,10.6,,9,26,Монолит,Выборгский,Парнас,0.8
Квартира,7370000,2,49.3,22.3,11.2,,1,4,Монолит,Всеволожский,Проспект Просвещения,15.0
Квартира,9000000,3,59.8,42.3,7.4,2.5,1,5,Брежневка,Невский,Улица Дыбенко,1.5
Квартира,4430000,2,46.7,27.3,6.4,2.55,3,5,Панельный,Выборгский,Беговая,32.8
Квартира,17500000,2,69.0,32.0,19.0,,2,10,Кирпично-Монолитный,Выборгский,Выборгская,1.0
Квартира,6490000,2,45.74,30.53,7.4,2.5,4,5,Блочный,Калининский,Гражданский  проспект,0.6
Квартира,6500000,1,34.1,16.0,10.0,2.8,13,23,Индивидуальный,Всеволожский,,
Студия,8690000,0,24.0,16.9,,2.82,4,23,Кирпично-Монолитный,Невский,Ломоносовская,2.4
Квартира,8600000,2,56.6,35.0,8.3,3.0,1,8,Кирпичный,Невский,Ломоносовская,0.3
Студия,5500000,0,26.0,13.6,6.0,2.55,8,16,Кирпично-Монолитный,Калининский,,
Квартира,4340000,2,39.2,25.6,5.2,2.5,2,4,Кирпичный,Выборгский,Беговая,43.0
Студия,5150000,0,23.8,19.4,3.0,3.0,20,22,Индивидуальный,Московский,Московская,
Студия,4400000,0,24.0,16.6,3.0,2.65,7,12,Индивидуальный,Всеволожский,,
Квартира,5050000,1,35.2,17.0,7.0,2.5,1,12,Монолитно-панельный,Красногвардейский,Ладожская,2.8
Квартира,17800000,2,75.5,36.24,13.61,,15,19,Кирпично-Монолитный,Приморский,,
Квартира,9300000,2,57.4,29.9,22.0,,8,10,Панельный,Невский,Улица Дыбенко,0.9
Квартира,4457000,2,63.97,33.8,8.9,2.6,3,11,Панельный,Ломоносовский,Проспект Ветеранов,19.9
Квартира,25000000,3,126.2,81.1,14.3,,4,6,Старый фонд (СФ),Центральный,Чернышевская,1.3
Студия,3400000,0,22.3,14.37,,,5,22,Монолит,Всеволожский,,
Квартира,6250000,2,33.0,15.0,13.0,2.75,18,18,Индивидуальный,Красногвардейский,Гражданский  проспект,
Квартира,3450000,2,42.5,25.0,6.0,2.7,1,4,Кирпичный,Тосненский,Рыбацкое,21.5
Квартира,22950000,2,69.97,34.0,16.6,3.0,1,8,Индивидуальный,Петроградский,,
Квартира,7250000,2,42.4,27.2,4.9,2.67,4,5,Кирпичный,Приморский,Старая Деревня,0.7
Квартира,29600000,3,106.0,70.0,18.0,,3,26,Монолит,Выборгский,Удельная,1.1
Студия,4200000,0,25.5,19.0,,,17,20,Монолит,Всеволожский,Девяткино,1.1
Квартира,51000000,3,131.0,80.0,17.0,,2,9,Кирпично-Монолитный,Петроградский,,
Квартира,6300000,2,45.6,25.6,6.3,2.64,3,5,Панельный,Калининский,,
Квартира,11360000,2,67.5,31.8,10.7,2.9,1,3,Ст.Фонд Кап.Рем.,Фрунзенский,Обводный канал,0.6
Квартира,9100000,1,35.96,16.92,10.65,2.5,15,18,Индивидуальный,Московский,,
Квартира,10200000,3,57.1,36.0,8.3,3.2,1,6,Индивидуальный,Кировский,,
Квартира,6600000,1,35.0,10.46,15.0,2.75,4,14,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,17000000,2,70.6,35.8,14.0,2.75,5,24,Кирпично-Монолитный,Калининский,Академическая,0.4
Квартира,9956000,2,58.0,33.0,10.0,,3,3,Панельный,Гатчинский,Московская,34.5
Квартира,4600000,1,45.7,21.7,12.6,,12,14,Панельный,Всеволожский,Девяткино,1.7
Студия,5000000,0,21.9,15.5,,2.6,18,28,Монолит,Выборгский,Парнас,1.4
Квартира,12500000,3,69.0,44.0,9.0,2.5,9,9,Кирпичный,Калининский,Гражданский  проспект,0.7
